TRACK_ID,First_Last_Timestamps,Frames,"X-110,Y-110","X-100,Y-100","X-90,Y-90","X-80,Y-80","X-70,Y-70","X-60,Y-60","X-50,Y-50","X-40,Y-40","X-30,Y-30","X-20,Y-20","X-10,Y-10","X,Y","X+10,Y+10","X+20,Y+20","X+30,Y+30","X+40,Y+40","X+50,Y+50",STATUS-110,STATUS-100,STATUS-90,STATUS-80,STATUS-70,STATUS-60,STATUS-50,STATUS-40,STATUS-30,STATUS-20,STATUS-10,STATUS,STATUS+10,STATUS+20,STATUS+30,STATUS+40,STATUS+50
93,"(83.083, 88.755333)",769_frame2610.jpg,"(538857.67, 4813989.59)","(538857.13, 4813990.29)","(538856.43, 4813991.34)","(538855.46, 4813992.89)","(538854.33, 4813994.72)","(538853.17, 4813996.6)","(538851.96, 4813998.53)","(538850.67, 4814000.55)","(538849.3, 4814002.68)","(538847.84, 4814004.91)","(538846.3, 4814007.24)","(538844.67, 4814009.67)","(538842.94, 4814012.2)","(538841.18, 4814014.8)","(538839.4, 4814017.46)","(538837.59, 4814020.19)","(538835.71, 4814022.95)","(9.7034, 1.914, 0.3481, 2.207)","(12.3679, 3.1198, 0.4339, 2.1912)","(16.5497, 3.7608, 0.3771, 2.1574)","(20.7418, 2.843, 0.2103, 2.1267)","(23.1893, 1.3817, -0.0156, 2.1214)","(24.3686, 0.7517, -0.1332, 2.1269)","(25.2919, 0.9247, -0.1467, 2.1359)","(26.6126, 1.158, -0.12, 2.1416)","(28.0177, 1.173, -0.1241, 2.1459)","(29.4219, 1.1842, -0.1705, 2.1517)","(30.8625, 1.1921, -0.1741, 2.1594)","(32.2293, 1.0497, -0.0924, 2.1672)","(33.3628, 0.8411, 0.0588, 2.168)","(34.2412, 0.6429, 0.1026, 2.1623)","(34.9512, 0.559, -0.0158, 2.1574)","(35.7554, 0.7075, -0.2071, 2.162)","(36.1521, 0.7201, -0.3222, 2.174)"
97,"(86.086, 91.424667)",769_frame2690.jpg,"(538853.91, 4813988.95)","(538852.57, 4813990.94)","(538851.17, 4813993.09)","(538849.61, 4813995.55)","(538847.93, 4813998.24)","(538846.17, 4814001.0)","(538844.35, 4814003.77)","(538842.44, 4814006.6)","(538840.48, 4814009.51)","(538838.47, 4814012.5)","(538836.41, 4814015.56)","(538834.26, 4814018.73)","(538832.01, 4814022.01)","(538829.72, 4814025.38)","(538827.43, 4814028.79)","(538825.11, 4814032.29)","(538823.26, 4814035.1)","(26.2496, 0.6389, 0.2003, 2.1656)","(27.3601, 1.467, 0.264, 2.1577)","(29.6763, 2.2879, 0.2682, 2.143)","(32.4607, 2.1061, 0.1061, 2.1312)","(34.4602, 1.2314, -0.1769, 2.1324)","(35.5813, 0.7339, -0.327, 2.1445)","(36.3818, 0.6913, -0.2811, 2.1585)","(37.3207, 0.8309, -0.1015, 2.1647)","(38.3251, 0.859, -0.0032, 2.1638)","(39.41, 0.9693, -0.0243, 2.1625)","(40.6837, 1.1391, -0.0932, 2.1649)","(42.0622, 1.1003, -0.065, 2.1694)","(43.2421, 0.867, 0.0609, 2.1704)","(44.1482, 0.6562, 0.1873, 2.1661)","(44.5669, -2.9031, 0.2003, 2.1585)","(41.2873, -5.9176, 0.1492, 2.1537)","(39.0975, -10.0478, 0.0784, 2.1526)"
102,"(89.422667, 95.095)",769_frame2800.jpg,"(538812.13, 4814025.54)","(538812.17, 4814023.45)","(538812.03, 4814021.27)","(538811.64, 4814019.01)","(538811.0, 4814016.72)","(538810.11, 4814014.41)","(538808.96, 4814012.12)","(538807.55, 4814009.88)","(538805.89, 4814007.73)","(538803.97, 4814005.72)","(538801.77, 4814003.82)","(538799.26, 4814001.99)","(538796.48, 4814000.21)","(538793.67, 4813998.54)","(538790.96, 4813997.01)","(538788.29, 4813995.54)","(538785.88, 4813994.24)","(21.7445, 1.8366, 0.9546, 4.7503)","(23.1605, 1.409, 1.4908, 4.6897)","(24.1286, 0.8765, 1.9578, 4.6005)","(25.2223, 0.8817, 2.1543, 4.4906)","(26.2084, 0.7986, 2.1417, 4.3906)","(27.1693, 0.7936, 2.1689, 4.2995)","(28.101, 0.7357, 2.2685, 4.1999)","(28.9195, 0.6495, 2.3949, 4.1021)","(29.74, 0.7605, 2.4564, 4.0006)","(30.845, 1.1826, 2.3956, 3.9058)","(32.5615, 1.5405, 2.1218, 3.811)","(34.2449, 1.0814, 1.6735, 3.7395)","(34.9413, 0.0459, 1.1208, 3.6927)","(34.4248, -0.7351, 0.663, 3.6653)","(33.3844, -1.8913, 0.3568, 3.6497)","(31.5529, -2.5002, 0.2095, 3.6404)","(30.5338, -3.6689, 0.125, 3.6375)"
107,"(92.425667, 97.764333)",769_frame2880.jpg,"(538857.31, 4813990.16)","(538856.13, 4813991.89)","(538854.8, 4813993.85)","(538853.13, 4813996.31)","(538851.23, 4813999.14)","(538849.29, 4814002.06)","(538847.39, 4814004.96)","(538845.46, 4814007.92)","(538843.47, 4814010.92)","(538841.42, 4814013.97)","(538839.31, 4814017.08)","(538837.15, 4814020.29)","(538834.95, 4814023.63)","(538832.71, 4814027.04)","(538830.45, 4814030.46)","(538828.15, 4814033.93)","(538826.06, 4814037.06)","(23.212, 1.0362, 0.0039, 2.1669)","(25.0761, 2.5003, 0.0084, 2.1667)","(29.0502, 3.8986, 0.0357, 2.1663)","(33.6819, 3.3516, 0.0905, 2.1647)","(36.6018, 1.5206, 0.157, 2.1606)","(37.6198, 0.394, 0.1434, 2.154)","(37.9083, 0.2914, 0.0216, 2.1492)","(38.5159, 0.628, -0.1498, 2.1516)","(39.2752, 0.6597, -0.1851, 2.1602)","(40.1323, 0.7899, -0.0624, 2.1662)","(41.2027, 0.979, 0.1197, 2.1645)","(42.4006, 0.9583, 0.1707, 2.1574)","(43.4149, 0.7213, 0.0874, 2.1525)","(44.1383, 0.4992, -0.0344, 2.1524)","(44.508, -1.3363, -0.082, 2.1556)","(42.9755, -2.8376, -0.072, 2.1579)","(41.9612, -4.9263, -0.0428, 2.1586)"
166,"(161.494667, 167.834333)",769_frame4980.jpg,"(538871.11, 4814037.51)","(538868.32, 4814036.18)","(538865.5, 4814034.91)","(538862.73, 4814033.77)","(538859.98, 4814032.78)","(538857.2, 4814031.94)","(538854.39, 4814031.28)","(538851.56, 4814030.8)","(538848.77, 4814030.52)","(538846.03, 4814030.44)","(538843.34, 4814030.56)","(538840.69, 4814030.84)","(538838.09, 4814031.29)","(538835.55, 4814031.96)","(538833.1, 4814032.92)","(538830.8, 4814034.17)","(538828.62, 4814035.72)","(32.2846, 0.8979, 0.3107, 3.591)","(32.9658, 0.1777, 0.5738, 3.5762)","(32.7439, -0.4504, 0.8778, 3.55)","(32.0608, -0.5812, 1.1593, 3.5113)","(31.5221, -0.292, 1.3897, 3.462)","(31.2567, -0.1958, 1.5471, 3.4042)","(30.995, -0.2742, 1.655, 3.3419)","(30.556, -0.4576, 1.734, 3.273)","(29.94, -0.5291, 1.7534, 3.2058)","(29.3483, -0.4221, 1.6875, 3.1337)","(28.9258, -0.2933, 1.6024, 3.0664)","(28.6432, -0.1792, 1.7044, 3.0027)","(28.49, -0.1053, 2.0742, 2.9279)","(28.3595, -0.0747, 2.5664, 2.8293)","(28.383, 0.1432, 2.8414, 2.7079)","(28.8431, 0.539, 2.663, 2.5814)","(29.106, 0.8834, 2.4757, 2.4836)"
167,"(163.496667, 169.836333)",769_frame5040.jpg,"(538808.89, 4813991.88)","(538813.62, 4813994.21)","(538818.38, 4813996.59)","(538823.15, 4813998.98)","(538827.95, 4814001.4)","(538832.72, 4814003.81)","(538837.44, 4814006.18)","(538842.19, 4814008.55)","(538847.06, 4814010.97)","(538852.05, 4814013.44)","(538857.1, 4814015.93)","(538862.22, 4814018.43)","(538867.41, 4814020.99)","(538872.51, 4814023.56)","(538877.65, 4814026.2)","(538882.72, 4814028.79)","(538886.87, 4814030.72)","(55.157, 1.9048, -0.2452, 0.456)","(56.8396, 0.9436, -0.1923, 0.4606)","(57.5486, 0.317, -0.1323, 0.4641)","(57.7315, 0.0519, -0.069, 0.4662)","(57.6931, -0.1771, -0.0064, 0.4669)","(57.3896, -0.2083, 0.0475, 0.4664)","(57.3853, 0.2881, 0.0856, 0.4648)","(58.1018, 0.8464, 0.1061, 0.4627)","(59.2608, 0.9785, 0.1109, 0.4602)","(60.3138, 0.8042, 0.1022, 0.458)","(61.2153, 0.6626, 0.0118, 0.4561)","(61.7747, 0.1679, -0.1599, 0.456)","(61.8852, 0.3582, -0.3372, 0.4617)","(62.1966, -0.2903, -0.23, 0.4713)","(60.3485, -3.7956, 0.5117, 0.4756)","(56.8379, -5.9322, 1.1806, 0.4626)","(52.9107, -9.592, 1.846, 0.4141)"
188,"(200.2, 206.539667)",769_frame6140.jpg,"(538818.8, 4814029.24)","(538819.91, 4814027.69)","(538821.19, 4814025.85)","(538822.58, 4814023.83)","(538824.11, 4814021.63)","(538825.75, 4814019.28)","(538827.42, 4814016.84)","(538829.13, 4814014.33)","(538830.91, 4814011.7)","(538832.78, 4814008.92)","(538834.73, 4814006.0)","(538836.76, 4814002.93)","(538838.88, 4813999.65)","(538841.07, 4813996.18)","(538843.27, 4813992.68)","(538845.47, 4813989.19)","(538847.67, 4813985.68)","(17.8612, 3.423, 0.4785, 5.3608)","(21.9686, 3.117, 0.3221, 5.3275)","(25.1708, 2.3225, 0.0821, 5.3167)","(27.6851, 1.8724, -0.0208, 5.3183)","(29.6934, 1.4845, 0.0126, 5.3207)","(31.2624, 1.0938, 0.1023, 5.3181)","(32.4206, 0.9344, 0.1307, 5.3119)","(33.6634, 1.1788, 0.0871, 5.3072)","(35.2365, 1.4011, 0.0558, 5.3056)","(36.9969, 1.5129, 0.1065, 5.3048)","(38.8753, 1.6727, 0.2263, 5.2999)","(40.9958, 1.7677, 0.2976, 5.2904)","(42.9272, 1.3291, 0.2639, 5.2809)","(44.1287, 0.6879, 0.1483, 5.2747)","(44.5804, 0.1322, 0.0501, 5.2729)","(44.5652, -0.0509, 0.0054, 5.2728)","(44.6201, 0.0097, -0.0005, 5.273)"
191,"(203.536667, 208.875333)",769_frame6210.jpg,"(538817.49, 4814030.97)","(538818.94, 4814028.82)","(538820.41, 4814026.65)","(538821.97, 4814024.39)","(538823.62, 4814022.04)","(538825.35, 4814019.6)","(538827.14, 4814017.06)","(538828.99, 4814014.41)","(538830.89, 4814011.66)","(538832.84, 4814008.8)","(538834.84, 4814005.84)","(538836.9, 4814002.75)","(538839.04, 4813999.51)","(538841.26, 4813996.13)","(538843.47, 4813992.76)","(538845.67, 4813989.4)","(538847.87, 4813986.05)","(28.0438, 0.0136, -0.09, 5.3033)","(28.3633, 0.5019, -0.1387, 5.3059)","(29.0772, 0.8001, -0.1814, 5.3129)","(30.2766, 1.1173, -0.1647, 5.3215)","(31.6416, 1.0969, -0.0731, 5.3277)","(32.9019, 1.0539, 0.0478, 5.3277)","(34.183, 1.0725, 0.1194, 5.3236)","(35.4648, 1.0475, 0.1457, 5.3186)","(36.7048, 1.0325, 0.1484, 5.3138)","(37.9706, 1.0868, 0.1578, 5.3089)","(39.3764, 1.3038, 0.1659, 5.3038)","(41.0422, 1.3742, 0.1507, 5.2986)","(42.5038, 0.9514, 0.1028, 5.2946)","(43.2951, 0.377, 0.0402, 5.2925)","(43.4357, -0.0653, -0.0035, 5.2925)","(43.2629, -0.1317, -0.0165, 5.2932)","(43.2382, -0.0586, -0.0149, 5.2936)"
192,"(203.870333, 210.21)",769_frame6250.jpg,"(538818.13, 4814023.42)","(538819.4, 4814021.48)","(538820.76, 4814019.47)","(538822.21, 4814017.42)","(538823.74, 4814015.3)","(538825.31, 4814013.06)","(538826.91, 4814010.69)","(538828.56, 4814008.21)","(538830.29, 4814005.64)","(538832.1, 4814003.01)","(538833.98, 4814000.26)","(538835.93, 4813997.33)","(538837.97, 4813994.2)","(538840.0, 4813991.06)","(538841.97, 4813988.07)","(538843.92, 4813985.13)","(538845.88, 4813982.22)","(23.9958, 1.463, 0.0283, 5.2954)","(25.5035, 1.0504, -0.2372, 5.3001)","(26.6405, 0.8872, -0.3078, 5.3171)","(27.7048, 0.9245, -0.1213, 5.3334)","(28.8921, 1.0385, 0.2015, 5.3308)","(30.1705, 1.0805, 0.3045, 5.3142)","(31.4694, 1.0658, 0.1471, 5.301)","(32.7092, 1.0126, -0.0965, 5.3018)","(33.9461, 1.0665, -0.1204, 5.3114)","(35.3231, 1.3177, 0.0724, 5.3146)","(37.1342, 1.6, 0.2719, 5.3066)","(38.8995, 1.1795, 0.2649, 5.2935)","(39.758, 0.2097, 0.0676, 5.2874)","(39.4334, -0.6151, -0.1185, 5.29)","(38.5543, -0.6827, -0.1764, 5.2971)","(38.0313, -0.281, -0.1354, 5.3023)","(37.8571, -0.076, -0.085, 5.3041)"
195,"(205.872333, 211.544667)",769_frame6290.jpg,"(538818.57, 4814030.09)","(538819.84, 4814028.18)","(538821.2, 4814026.17)","(538822.65, 4814024.07)","(538824.16, 4814021.86)","(538825.73, 4814019.53)","(538827.37, 4814017.07)","(538829.08, 4814014.5)","(538830.88, 4814011.86)","(538832.75, 4814009.14)","(538834.7, 4814006.29)","(538836.71, 4814003.31)","(538838.77, 4814000.19)","(538840.88, 4813996.9)","(538843.13, 4813993.36)","(538845.43, 4813989.74)","(538847.62, 4813986.38)","(24.9151, 0.5104, -0.1162, 5.2969)","(25.6257, 0.7923, -0.1445, 5.3036)","(26.8211, 1.1287, -0.103, 5.3111)","(28.2338, 1.175, 0.0183, 5.3147)","(29.6386, 1.2093, 0.1253, 5.3101)","(31.1178, 1.2276, 0.1054, 5.3028)","(32.5437, 1.1236, -0.0327, 5.2998)","(33.8275, 1.0419, -0.1385, 5.3048)","(35.0935, 1.0948, -0.1106, 5.3122)","(36.4798, 1.2065, 0.0421, 5.3142)","(37.9921, 1.3062, 0.2035, 5.3095)","(39.6051, 1.368, 0.3068, 5.3005)","(41.4672, 1.7961, 0.3258, 5.2902)","(43.6549, 1.6194, 0.2019, 5.2807)","(44.967, 0.2758, -0.0664, 5.2764)","(44.0693, -1.5311, -0.3083, 5.2825)","(43.0731, -2.7792, -0.4454, 5.2972)"
